date,open,high,low,close,volume,source
2025-02-25 00:00:00,812.0,812.0,798.0,798.0,4871.0,backfill_api
2025-02-27 00:00:00,810.0,810.0,799.0,803.0,5527.0,backfill_api
2025-03-02 00:00:00,805.0,818.0,802.0,813.0,8764.0,backfill_api
2025-03-03 00:00:00,815.0,820.0,810.0,810.0,7871.0,backfill_api
2025-03-04 00:00:00,805.0,814.0,797.1,799.0,6709.0,backfill_api
2025-03-05 00:00:00,790.0,800.0,790.0,795.0,2641.0,backfill_api
2025-03-06 00:00:00,801.0,801.0,785.2,797.0,4683.0,backfill_api
2025-03-09 00:00:00,805.0,805.0,780.5,782.0,2791.0,backfill_api
2025-03-10 00:00:00,780.0,790.0,765.0,779.0,6552.0,backfill_api
2025-03-11 00:00:00,766.2,781.5,761.1,769.0,4858.0,backfill_api
2025-03-12 00:00:00,784.0,784.0,765.0,770.0,1277.0,backfill_api
2025-03-16 00:00:00,784.9,784.9,755.0,764.0,3347.0,backfill_api
2025-03-17 00:00:00,755.2,769.0,755.2,755.3,2252.0,backfill_api
2025-03-18 00:00:00,756.0,768.0,755.0,756.0,1252.0,backfill_api
2025-03-19 00:00:00,754.0,760.0,747.2,747.2,4323.0,backfill_api
2025-03-20 00:00:00,744.0,751.4,737.0,740.25,4148.0,backfill_api
2025-03-23 00:00:00,752.0,752.0,725.1,726.42,4306.0,backfill_api
2025-03-24 00:00:00,730.0,740.0,721.0,736.55,3074.0,backfill_api
2025-03-25 00:00:00,725.0,730.0,719.0,720.05,4078.0,backfill_api
2025-03-26 00:00:00,720.0,732.0,716.0,727.65,3284.0,backfill_api
2025-03-27 00:00:00,742.2,757.0,732.1,737.58,2676.0,backfill_api
2025-03-30 00:00:00,723.2,752.3,723.2,745.07,3803.0,backfill_api
2025-04-01 00:00:00,737.0,758.0,737.0,739.36,3188.0,backfill_api
2025-04-02 00:00:00,739.0,748.0,731.0,743.52,2114.0,backfill_api
2025-04-03 00:00:00,743.0,743.0,730.2,740.52,4345.0,backfill_api
2025-04-07 00:00:00,726.0,740.0,726.0,727.1,3306.0,backfill_api
2025-04-08 00:00:00,727.0,729.0,717.0,727.7,1768.0,backfill_api
2025-04-09 00:00:00,727.7,738.0,725.2,728.39,2298.0,backfill_api
2025-04-10 00:00:00,721.2,730.0,721.2,724.71,3140.0,backfill_api
2025-04-13 00:00:00,721.0,734.0,716.2,720.48,2118.0,backfill_api
2025-04-15 00:00:00,720.48,732.0,720.48,728.0,1138.0,backfill_api
