date,open,high,low,close,volume,source
2025-02-25 00:00:00,1054.0,1075.0,1050.0,1055.0,21130.0,backfill_api
2025-02-27 00:00:00,1055.1,1069.0,1041.1,1053.8,16776.0,backfill_api
2025-03-02 00:00:00,1054.0,1067.0,1037.0,1042.0,15719.0,backfill_api
2025-03-03 00:00:00,1062.0,1062.0,1025.0,1034.9,13581.0,backfill_api
2025-03-04 00:00:00,1024.0,1035.0,1000.1,1004.0,14712.0,backfill_api
2025-03-05 00:00:00,1023.9,1086.5,1004.0,1049.9,34178.0,backfill_api
2025-03-06 00:00:00,1070.7,1070.7,1028.7,1028.7,36381.0,backfill_api
2025-03-09 00:00:00,1029.0,1029.0,998.0,999.0,16542.0,backfill_api
2025-03-10 00:00:00,991.0,1018.9,975.2,1007.0,15144.0,backfill_api
2025-03-11 00:00:00,990.0,1089.8,982.0,1025.0,37702.0,backfill_api
2025-03-12 00:00:00,1011.0,1087.0,1000.0,1018.0,23302.0,backfill_api
2025-03-16 00:00:00,1016.0,1034.0,977.2,1005.0,15690.0,backfill_api
2025-03-17 00:00:00,1009.0,1010.0,978.0,993.5,12128.0,backfill_api
2025-03-18 00:00:00,976.1,1054.1,973.7,974.1,19579.0,backfill_api
2025-03-19 00:00:00,971.0,989.9,955.0,985.0,10729.0,backfill_api
2025-03-20 00:00:00,969.0,980.0,950.0,952.74,19983.0,backfill_api
2025-03-23 00:00:00,970.2,970.2,934.0,936.2,16954.0,backfill_api
2025-03-24 00:00:00,953.0,953.0,906.5,918.8,10514.0,backfill_api
2025-03-25 00:00:00,906.0,907.0,847.8,858.15,21138.0,backfill_api
2025-03-26 00:00:00,855.0,887.6,846.0,881.37,7981.0,backfill_api
2025-03-27 00:00:00,892.9,892.9,870.0,876.49,7925.0,backfill_api
2025-03-30 00:00:00,894.0,899.9,873.0,885.79,8057.0,backfill_api
2025-04-01 00:00:00,900.0,900.0,871.0,888.92,7998.0,backfill_api
2025-04-02 00:00:00,906.0,924.0,871.3,900.91,111866.0,backfill_api
2025-04-03 00:00:00,918.0,975.0,911.0,963.49,31072.0,backfill_api
2025-04-07 00:00:00,982.7,982.7,900.0,927.54,127722.0,backfill_api
2025-04-08 00:00:00,911.0,939.0,897.0,916.28,9490.0,backfill_api
2025-04-09 00:00:00,925.0,939.9,907.0,915.97,9594.0,backfill_api
2025-04-10 00:00:00,915.0,928.0,901.1,901.48,9337.0,backfill_api
2025-04-13 00:00:00,901.4,919.0,901.0,907.05,22178.0,backfill_api
2025-04-15 00:00:00,919.0,994.5,890.0,962.45,20664.0,backfill_api
2025-04-16 00:00:00,965.0,1010.0,961.0,1003.97,33978.0,backfill_api
2025-04-17 00:00:00,1023.9,1075.0,1005.0,1070.9,64756.0,backfill_api
2025-04-20 00:00:00,1059.0,1066.0,964.4,1032.21,80300.0,backfill_api
2025-04-21 00:00:00,1020.1,1076.0,1020.1,1054.99,44209.0,backfill_api
2025-04-22 00:00:00,1050.0,1084.9,1042.1,1053.11,40115.0,backfill_api
2025-04-23 00:00:00,1040.0,1041.5,1000.7,1007.21,13911.0,backfill_api
2025-04-24 00:00:00,987.1,1024.8,987.1,993.47,13656.0,backfill_api
2025-04-27 00:00:00,1013.0,1013.0,967.0,971.72,14500.0,backfill_api
2025-04-28 00:00:00,970.0,977.0,919.0,934.95,14958.0,backfill_api
2025-04-29 00:00:00,949.0,988.0,949.0,976.54,8999.0,backfill_api
2025-04-30 00:00:00,995.0,1007.0,961.5,975.01,9622.0,backfill_api
2025-05-04 00:00:00,990.0,1000.0,965.0,982.99,18603.0,backfill_api
2025-05-05 00:00:00,982.0,1000.0,961.0,976.37,4720.0,backfill_api
2025-05-06 00:00:00,993.0,993.0,940.2,945.06,8313.0,backfill_api
2025-05-07 00:00:00,960.0,978.9,935.5,975.03,15267.0,backfill_api
2025-05-08 00:00:00,955.6,999.6,937.0,990.13,17825.0,backfill_api
2025-05-11 00:00:00,981.5,981.5,963.0,963.69,3810.0,backfill_api
2025-05-13 00:00:00,982.0,990.0,937.1,956.1,6136.0,backfill_api
2025-05-14 00:00:00,938.0,975.0,912.0,927.98,20566.0,backfill_api
2025-05-15 00:00:00,925.0,930.0,898.0,917.05,12044.0,backfill_api
2025-05-18 00:00:00,901.0,910.0,893.6,898.26,9957.0,backfill_api
2025-05-19 00:00:00,897.0,928.2,897.0,916.71,19697.0,backfill_api
2025-05-20 00:00:00,935.0,940.5,900.0,930.82,6662.0,backfill_api
2025-05-21 00:00:00,949.4,987.0,910.0,914.4,4521.0,backfill_api
2025-05-22 00:00:00,899.0,925.0,899.0,901.48,19248.0,backfill_api
2025-05-25 00:00:00,900.0,930.0,900.0,917.71,15179.0,backfill_api
