date,open,high,low,close,volume,source
2025-02-27 00:00:00,742.6,755.0,713.6,728.0,36875.0,backfill_api
2025-03-02 00:00:00,742.5,770.0,740.0,770.0,51357.0,backfill_api
2025-03-03 00:00:00,775.0,796.0,770.0,772.0,62911.0,backfill_api
2025-03-04 00:00:00,772.0,780.0,750.0,754.0,31720.0,backfill_api
2025-03-05 00:00:00,754.0,757.9,737.1,744.0,29193.0,backfill_api
2025-03-06 00:00:00,750.0,756.0,737.0,737.2,16543.0,backfill_api
2025-03-09 00:00:00,750.0,750.0,726.1,728.0,20888.0,backfill_api
2025-03-10 00:00:00,729.0,742.3,716.4,721.8,23912.0,backfill_api
2025-03-11 00:00:00,727.0,734.9,705.0,707.2,27101.0,backfill_api
2025-03-12 00:00:00,711.0,718.0,708.0,710.1,20698.0,backfill_api
2025-03-16 00:00:00,710.1,714.0,700.0,707.9,20873.0,backfill_api
2025-03-17 00:00:00,701.0,720.9,701.0,705.0,15655.0,backfill_api
2025-03-18 00:00:00,707.2,716.9,702.0,704.0,12066.0,backfill_api
2025-03-19 00:00:00,704.0,710.0,692.0,693.0,23346.0,backfill_api
2025-03-20 00:00:00,699.0,699.0,677.0,680.41,35551.0,backfill_api
2025-03-23 00:00:00,668.0,680.0,656.6,657.36,24668.0,backfill_api
2025-03-24 00:00:00,658.0,679.0,648.1,676.45,19636.0,backfill_api
2025-03-25 00:00:00,676.5,676.5,652.1,653.67,22810.0,backfill_api
2025-03-26 00:00:00,663.0,667.0,650.0,660.0,14004.0,backfill_api
2025-03-27 00:00:00,663.0,670.0,658.0,665.59,11616.0,backfill_api
2025-03-30 00:00:00,665.0,680.0,665.0,674.9,19716.0,backfill_api
2025-04-01 00:00:00,675.0,675.0,660.0,661.43,16675.0,backfill_api
2025-04-02 00:00:00,674.5,699.0,664.0,683.83,34750.0,backfill_api
2025-04-03 00:00:00,690.0,697.9,670.3,671.52,26834.0,backfill_api
2025-04-07 00:00:00,683.0,683.0,662.1,663.4,14550.0,backfill_api
2025-04-08 00:00:00,660.0,669.0,655.1,662.25,14942.0,backfill_api
2025-04-09 00:00:00,675.0,675.0,660.0,661.3,11472.0,backfill_api
2025-04-10 00:00:00,674.5,683.9,660.0,662.27,12415.0,backfill_api
2025-04-13 00:00:00,655.2,675.0,655.2,658.9,15436.0,backfill_api
2025-04-15 00:00:00,670.0,700.0,660.0,678.48,31114.0,backfill_api
2025-04-16 00:00:00,680.0,680.0,668.4,670.26,10581.0,backfill_api
2025-04-17 00:00:00,680.0,683.5,666.0,679.49,24755.0,backfill_api
2025-04-20 00:00:00,680.0,680.1,667.0,668.97,13971.0,backfill_api
2025-04-21 00:00:00,675.0,675.0,660.0,662.19,26183.0,backfill_api
2025-04-22 00:00:00,663.0,667.0,654.0,656.81,15547.0,backfill_api
2025-04-23 00:00:00,657.0,661.0,648.0,653.66,12428.0,backfill_api
2025-04-24 00:00:00,657.0,659.0,640.0,643.0,16775.0,backfill_api
2025-04-27 00:00:00,649.9,678.0,634.0,642.28,25786.0,backfill_api
2025-04-28 00:00:00,644.0,680.0,644.0,665.12,55539.0,backfill_api
2025-04-29 00:00:00,677.0,677.0,655.2,662.33,11563.0,backfill_api
2025-04-30 00:00:00,662.3,674.0,650.0,651.56,12045.0,backfill_api
2025-05-04 00:00:00,651.0,656.0,647.4,647.73,24801.0,backfill_api
2025-05-05 00:00:00,660.6,660.6,639.0,639.72,16068.0,backfill_api
2025-05-06 00:00:00,640.0,643.0,629.1,629.62,29092.0,backfill_api
2025-05-07 00:00:00,628.0,665.0,620.0,653.76,37095.0,backfill_api
2025-05-08 00:00:00,665.4,691.0,645.0,675.6,80601.0,backfill_api
2025-05-11 00:00:00,674.0,685.0,648.3,655.21,35565.0,backfill_api
2025-05-13 00:00:00,654.0,667.0,646.0,655.57,17741.0,backfill_api
2025-05-14 00:00:00,655.0,664.9,645.0,647.54,20443.0,backfill_api
2025-05-15 00:00:00,650.0,651.0,638.0,640.45,13899.0,backfill_api
2025-05-18 00:00:00,642.1,654.9,642.0,651.33,26636.0,backfill_api
2025-05-19 00:00:00,652.3,662.6,646.0,647.62,11289.0,backfill_api
2025-05-20 00:00:00,645.0,660.0,643.0,656.69,16327.0,backfill_api
2025-05-21 00:00:00,661.0,701.0,647.1,648.93,28952.0,backfill_api
2025-05-22 00:00:00,645.1,660.0,644.5,647.45,19475.0,backfill_api
2025-05-25 00:00:00,660.0,663.0,634.1,640.98,20303.0,backfill_api
2025-05-26 00:00:00,653.7,667.0,644.0,645.98,17489.0,backfill_api
2025-05-27 00:00:00,645.0,648.0,636.1,637.37,9530.0,backfill_api
2025-05-28 00:00:00,638.6,640.0,633.1,636.08,11540.0,backfill_api
2025-06-02 00:00:00,648.8,657.0,637.2,639.5,8757.0,backfill_api
2025-06-03 00:00:00,641.0,644.9,630.2,634.45,9802.0,backfill_api
2025-06-04 00:00:00,638.0,640.0,627.5,629.23,9492.0,backfill_api
2025-06-05 00:00:00,625.2,638.9,620.5,628.12,20197.0,backfill_api
2025-06-08 00:00:00,621.1,631.0,620.0,620.52,18205.0,backfill_api
2025-06-09 00:00:00,625.0,630.0,621.0,621.46,14461.0,backfill_api
2025-06-10 00:00:00,621.0,664.9,621.0,652.9,55712.0,backfill_api
2025-06-11 00:00:00,664.0,665.4,637.1,639.3,40233.0,backfill_api
2025-06-12 00:00:00,648.9,652.0,636.1,641.84,18160.0,backfill_api
2025-06-15 00:00:00,646.0,650.0,635.1,635.93,22391.0,backfill_api
2025-06-16 00:00:00,640.0,640.0,628.0,630.69,13356.0,backfill_api
2025-06-17 00:00:00,630.0,641.9,624.0,625.04,13261.0,backfill_api
2025-06-18 00:00:00,637.5,637.5,624.8,629.31,27083.0,backfill_api
2025-06-19 00:00:00,641.4,641.4,620.1,621.36,21102.0,backfill_api
2025-06-22 00:00:00,612.0,627.0,612.0,614.15,12854.0,backfill_api
2025-06-23 00:00:00,622.0,626.4,606.0,610.3,12810.0,backfill_api
2025-06-24 00:00:00,615.0,620.0,600.0,602.43,16815.0,backfill_api
2025-06-25 00:00:00,610.0,614.0,600.0,600.33,12295.0,backfill_api
2025-06-26 00:00:00,610.0,610.0,597.0,598.81,11996.0,backfill_api
2025-06-29 00:00:00,605.0,605.0,591.5,599.77,17061.0,backfill_api
2025-06-30 00:00:00,600.0,603.0,595.0,599.57,6378.0,backfill_api
2025-07-01 00:00:00,595.0,614.0,595.0,610.16,10195.0,backfill_api
2025-07-02 00:00:00,612.0,628.1,611.0,621.98,29052.0,backfill_api
2025-07-03 00:00:00,634.0,665.0,616.0,647.31,54190.0,backfill_api
2025-07-06 00:00:00,655.0,685.0,642.1,667.77,89361.0,backfill_api
2025-07-07 00:00:00,668.0,670.0,640.0,641.74,31850.0,backfill_api
2025-07-08 00:00:00,640.0,655.0,630.0,650.21,23409.0,backfill_api
2025-07-09 00:00:00,651.0,654.5,639.9,647.94,15701.0,backfill_api
2025-07-10 00:00:00,660.8,660.8,650.1,653.59,16860.0,backfill_api
2025-07-13 00:00:00,666.6,679.0,660.0,668.49,42374.0,backfill_api
2025-07-14 00:00:00,666.0,679.2,662.0,675.13,36337.0,backfill_api
2025-07-15 00:00:00,684.0,710.0,672.0,696.09,98379.0,backfill_api
2025-07-16 00:00:00,709.9,717.0,703.1,714.37,50552.0,backfill_api
2025-07-17 00:00:00,728.6,729.0,711.2,724.47,56418.0,backfill_api
2025-07-20 00:00:00,710.0,724.8,710.0,710.5,115934.0,backfill_api
2025-07-21 00:00:00,709.0,717.5,705.1,706.93,58833.0,backfill_api
2025-07-22 00:00:00,719.5,734.0,715.0,730.29,56338.0,backfill_api
2025-07-23 00:00:00,732.0,756.8,717.0,738.61,61567.0,backfill_api
2025-07-24 00:00:00,738.0,750.0,725.0,727.53,33090.0,backfill_api
2025-07-27 00:00:00,721.0,739.0,700.3,704.47,71629.0,backfill_api
2025-07-28 00:00:00,695.0,730.0,695.0,726.38,57195.0,backfill_api
2025-07-29 00:00:00,740.9,740.9,720.0,721.04,28352.0,backfill_api
2025-07-30 00:00:00,718.0,735.0,703.0,705.6,27941.0,backfill_api
2025-07-31 00:00:00,701.2,748.6,695.0,708.8,78804.0,backfill_api
2025-08-03 00:00:00,708.0,730.0,701.2,702.46,26017.0,backfill_api
2025-08-04 00:00:00,716.0,716.5,684.0,694.74,43709.0,backfill_api
2025-08-05 00:00:00,685.0,705.0,675.0,677.07,21386.0,backfill_api
2025-08-06 00:00:00,680.0,685.0,665.0,674.72,16375.0,backfill_api
2025-08-07 00:00:00,684.0,685.0,675.0,684.02,9921.0,backfill_api
2025-08-11 00:00:00,697.7,697.7,675.0,676.35,13541.0,backfill_api
2025-08-12 00:00:00,680.0,680.0,662.3,664.69,12030.0,backfill_api
2025-08-13 00:00:00,652.0,677.3,652.0,661.35,9792.0,backfill_api
2025-08-14 00:00:00,673.9,673.9,653.1,654.55,8407.0,backfill_api
2025-08-17 00:00:00,660.9,661.0,643.0,645.89,12277.0,backfill_api
2025-08-18 00:00:00,658.0,669.9,638.3,644.69,8931.0,backfill_api
2025-08-19 00:00:00,657.0,657.0,641.0,641.62,14371.0,backfill_api
2025-08-20 00:00:00,635.7,654.0,635.7,640.0,5836.0,backfill_api
2025-08-21 00:00:00,640.0,641.0,631.0,631.24,11329.0,backfill_api
2025-08-24 00:00:00,625.0,643.8,625.0,632.75,4182.0,backfill_api
2025-08-25 00:00:00,630.1,636.0,624.0,632.42,8383.0,backfill_api
2025-08-26 00:00:00,635.0,637.9,628.0,628.0,4321.0,backfill_api
2025-08-27 00:00:00,630.0,645.0,630.0,639.3,9660.0,backfill_api
2025-08-28 00:00:00,642.0,643.9,630.0,630.53,8776.0,backfill_api
2025-08-31 00:00:00,632.0,643.0,620.4,620.79,6879.0,backfill_api
2025-09-01 00:00:00,630.0,630.0,620.1,623.96,7761.0,backfill_api
2025-09-02 00:00:00,623.96,623.96,613.0,614.64,6572.0,backfill_api
2025-09-03 00:00:00,615.0,623.0,610.0,612.94,7634.0,backfill_api
2025-09-04 00:00:00,625.0,626.0,608.0,609.21,10300.0,backfill_api
2025-09-07 00:00:00,608.0,616.0,605.0,608.4,7681.0,backfill_api
2025-09-08 00:00:00,615.0,615.0,597.0,598.4,12328.0,backfill_api
2025-09-18 00:00:00,586.5,586.5,550.0,550.0,1465.0,backfill_api
2025-09-21 00:00:00,550.0,605.0,528.3,605.0,19904.0,backfill_api
2025-09-23 00:00:00,617.1,650.0,617.1,640.0,20737.0,backfill_api
2025-09-24 00:00:00,635.0,640.0,611.0,629.0,9510.0,backfill_api
2025-09-25 00:00:00,641.0,641.0,615.0,616.1,3964.0,backfill_api
2025-09-28 00:00:00,610.0,617.0,609.0,617.0,3687.0,backfill_api
2025-10-07 00:00:00,605.1,627.0,593.0,627.0,4864.0,backfill_api
2025-10-08 00:00:00,615.1,621.0,593.0,600.1,16301.0,backfill_api
2025-10-09 00:00:00,612.1,637.7,609.0,612.6,12497.0,backfill_api
2025-10-12 00:00:00,601.4,621.0,590.0,597.0,12513.0,backfill_api
2025-10-13 00:00:00,597.0,608.0,591.0,596.1,10186.0,backfill_api
2025-10-14 00:00:00,593.0,599.0,585.0,585.5,5522.0,backfill_api
2025-10-15 00:00:00,580.0,590.0,574.0,578.0,6094.0,backfill_api
2025-10-16 00:00:00,589.0,589.5,560.0,561.0,12064.0,backfill_api
2025-10-19 00:00:00,572.0,572.0,561.0,565.0,7494.0,backfill_api
2025-10-26 00:00:00,555.0,560.0,550.0,560.0,4799.0,backfill_api
2025-10-28 00:00:00,569.0,580.0,569.0,575.0,4418.0,backfill_api
2025-10-29 00:00:00,580.0,589.9,570.0,570.1,4724.0,backfill_api
2025-10-30 00:00:00,570.1,580.0,560.4,573.5,6092.0,backfill_api
2025-11-02 00:00:00,583.0,600.0,583.0,597.0,19310.0,backfill_api
2025-11-03 00:00:00,597.0,623.0,597.0,608.0,15408.0,backfill_api
2025-11-04 00:00:00,605.0,609.0,590.0,598.8,5485.0,backfill_api
2025-11-05 00:00:00,590.1,619.0,586.1,618.9,11165.0,backfill_api
2025-11-06 00:00:00,627.0,631.0,610.0,616.0,15088.0,backfill_api
2025-11-09 00:00:00,605.5,607.0,595.0,599.0,7990.0,backfill_api
2025-11-10 00:00:00,589.0,608.5,587.0,591.0,6383.0,backfill_api
