date,open,high,low,close,volume,source
2025-02-27,830.0,846.0,815.0,823.2,10398.0,backfill_api
2025-03-02,825.0,840.0,820.0,840.0,20875.0,backfill_api
2025-03-03,846.0,855.0,832.0,844.0,27291.0,backfill_api
2025-03-04,831.0,847.0,831.0,832.0,11212.0,backfill_api
2025-03-05,829.0,835.0,816.0,827.4,17303.0,backfill_api
2025-03-06,819.7,839.0,819.7,824.0,6968.0,backfill_api
2025-03-09,817.0,824.0,808.7,813.0,9454.0,backfill_api
2025-03-10,824.9,824.9,810.1,810.1,6665.0,backfill_api
2025-03-11,805.0,811.0,800.0,800.3,6055.0,backfill_api
2025-03-12,803.0,810.0,799.0,807.0,4944.0,backfill_api
2025-03-16,809.0,809.0,794.7,797.9,6415.0,backfill_api
2025-03-17,791.0,802.0,790.1,795.0,5039.0,backfill_api
2025-03-18,799.0,804.0,790.0,790.0,7960.0,backfill_api
2025-03-19,798.0,798.0,780.0,785.9,13763.0,backfill_api
2025-03-20,787.0,788.0,780.1,781.07,7765.0,backfill_api
2025-03-23,780.0,788.9,770.0,770.31,12317.0,backfill_api
2025-03-24,761.0,780.3,761.0,776.53,5981.0,backfill_api
2025-03-25,770.0,771.0,759.0,760.61,11243.0,backfill_api
2025-03-26,770.0,778.1,761.5,776.9,4852.0,backfill_api
2025-03-27,784.0,788.9,766.2,781.32,7817.0,backfill_api
2025-03-30,781.0,795.8,780.0,785.52,11017.0,backfill_api
2025-04-01,780.0,788.0,778.0,778.49,6739.0,backfill_api
2025-04-02,775.0,785.0,773.1,778.98,6712.0,backfill_api
2025-04-03,787.8,790.0,774.0,781.71,11913.0,backfill_api
2025-04-07,774.0,785.0,774.0,780.55,7491.0,backfill_api
2025-04-08,774.5,786.0,767.3,779.35,12889.0,backfill_api
2025-04-09,770.0,785.0,770.0,777.26,9316.0,backfill_api
2025-04-10,777.0,780.0,770.1,776.42,4511.0,backfill_api
2025-04-13,761.1,780.0,761.1,776.15,5573.0,backfill_api
2025-04-15,780.0,785.5,767.0,781.53,3944.0,backfill_api
2025-04-16,782.0,795.0,781.0,792.8,18003.0,backfill_api
2025-04-17,793.5,805.0,789.0,800.54,15955.0,backfill_api
2025-04-20,790.1,797.0,790.1,790.25,5827.0,backfill_api
2025-04-21,787.2,796.9,787.2,792.05,6839.0,backfill_api
2025-04-22,795.0,801.6,790.0,790.6,5685.0,backfill_api
2025-04-23,800.0,800.0,773.0,790.0,6933.0,backfill_api
2025-04-24,775.0,790.0,775.0,785.9,1537.0,backfill_api
2025-04-27,783.0,784.9,777.0,778.17,6782.0,backfill_api
2025-04-28,793.7,793.7,768.5,774.2,5312.0,backfill_api
2025-04-29,783.6,789.0,769.0,770.55,14969.0,backfill_api
2025-04-30,767.5,776.0,767.5,769.31,5712.0,backfill_api
