date,open,high,low,close,volume,source
2026-06-10,299.7,344.6,299.7,344.6,110.0,backfill_api
2026-06-11,331.7,396.2,331.7,396.2,100.0,backfill_api
2026-06-12,413.0,455.6,413.0,455.6,100.0,backfill_api
2026-06-15,469.2,523.9,469.2,523.9,210.0,backfill_api
2026-06-16,550.0,602.4,550.0,602.4,260.0,backfill_api
2026-06-17,620.4,692.7,620.4,692.7,250.0,backfill_api
2026-06-18,700.0,796.6,700.0,796.6,398.0,backfill_api
2026-06-19,836.0,916.0,836.0,916.0,1380.0,backfill_api
2026-06-22,961.8,1053.4,870.1,964.2,81620.0,backfill_api
2026-06-23,950.0,950.0,855.1,857.0,54588.0,backfill_api
2026-06-24,860.0,900.0,810.0,875.0,39477.0,backfill_api
2026-06-25,875.0,936.0,851.0,900.0,23135.0,backfill_api
2026-06-26,880.0,905.0,873.1,875.0,25803.0,backfill_api
2026-06-29,831.3,875.0,831.3,855.0,31428.0,backfill_api
2026-06-30,812.3,855.0,788.0,849.9,27374.0,backfill_api
2026-07-01,807.5,907.0,807.5,888.0,29517.0,backfill_api
2026-07-02,888.0,915.0,865.0,905.0,27833.0,backfill_api
2026-07-03,859.8,954.8,859.8,898.0,25254.0,backfill_api
2026-07-06,853.1,905.0,853.1,887.0,26917.0,backfill_api
2026-07-07,850.0,890.0,850.0,870.0,20186.0,backfill_api
2026-07-08,860.0,880.0,826.8,857.0,28726.0,backfill_api
2026-07-09,850.0,932.0,807.1,871.6,31890.0,backfill_api
2026-07-10,850.0,921.0,849.1,879.9,45663.0,backfill_api
2026-07-13,858.0,880.0,830.0,849.9,18305.0,backfill_api
2026-07-14,824.5,899.0,801.0,835.0,17614.0,backfill_api
2026-07-15,809.1,867.0,809.1,820.0,16019.0,backfill_api
2026-07-16,800.0,859.0,800.0,819.0,9640.0,backfill_api
2026-07-17,800.1,875.5,800.1,828.1,22129.0,backfill_api
2026-07-20,830.0,870.0,815.1,843.9,31993.0,backfill_api
2026-07-21,832.0,873.0,830.0,840.2,46207.0,backfill_api
2026-07-22,827.1,853.0,826.4,837.5,19020.0,backfill_api
2026-07-23,837.0,930.0,827.0,930.0,64326.0,daily_scrape
2026-07-24,930.0,952.0,900.0,905.0,35842.0,daily_scrape
2026-07-27,897.1,905.0,850.0,852.0,30226.0,daily_scrape
2026-07-28,809.4,877.0,809.4,869.0,19141.0,daily_scrape
2026-07-30,846.0,865.0,821.2,834.0,15135.0,daily_scrape
2026-07-31,820.8,844.9,820.8,839.0,15695.0,daily_scrape
2026-08-03,815.0,860.0,815.0,838.0,21739.0,daily_scrape
2026-08-04,826.1,840.0,826.1,828.6,10404.0,daily_scrape
2026-08-05,823.0,840.0,822.0,830.3,9248.0,daily_scrape
2026-08-06,830.0,855.0,825.0,828.0,10218.0,daily_scrape
2026-08-07,825.8,834.9,824.0,828.0,10060.0,daily_scrape
